YEAR,MONTH_NUM,MONTH_MON,APT_ICAO,APT_NAME,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,TOT_DIST_LVL_NM_DESC_BLW_70,TOT_TIME_LEVEL_SECONDS_DESCENT,TOT_TIME_LEVEL_SEC_DESC_BLW_70,MEDIAN_CDO_ALT,NBR_CDO_FLIGHTS,NBR_CDO_FLIGHTS_BELOW_7000,TOT_DELTA_CO2_KG_DESCENT,TOT_DELTA_CO2_KG_DESC_BLW_70,NBR_FLIGHTS_CLIMB,TOT_DIST_LEVEL_NM_CLIMB,TOT_DIST_LVL_NM_CLIMB_BLW_100,TOT_TIME_LEVEL_SECONDS_CLIMB,TOT_TIME_LVL_SEC_CLIMB_BLW_100,MEDIAN_CCO_ALT,NBR_CCO_FLIGHTS,NBR_CCO_FLIGHTS_BELOW_10000,TOT_DELTA_CO2_KG_CLIMB,TOT_DELTA_CO2_KG_CLIMB_BLW_100,AIRPORT_NAME
2025,1,JAN,EDAQ,Halle Oppin,Germany,3,9.67679728478865,9.67679728478865,160,160,3473.2142857142862,1,1,-5.7747399999999995,-5.7747399999999995,1,0,0,0,0,16000,1,1,0,0,Halle Oppin (EDAQ)
2025,1,JAN,EDAV,Eberswalde Finow,Germany,3,28.23698307623527,8.47748275517989,300,160,2950.8196721311474,0,0,0.49482499999999513,9.291985,4,3.43608874926369,3.43608874926369,40,40,21000,3,3,3.0092999999999996,3.0092999999999996,Eberswalde Finow (EDAV)
2025,1,JAN,EDAY,Strausberg,Germany,17,101.252735120777,59.62206557434048,2260,1540,15890,8,10,77.188595,24.375175,18,57.28894907119943,6.09927375342159,1580,140,23500,14,15,39.281345,1.6645649999999999,Strausberg (EDAY)
2025,1,JAN,EDAZ,Schonhagen,Germany,69,736.540319877514,523.947760354946,14680,11360,8000,33,35,116.887139,79.32684999999998,79,276.39931339495604,94.86752640962706,4540,1860,22000,66,75,21.73593,-8.25982500000001,Schonhagen (EDAZ)
2025,1,JAN,EDBC,Magdeburg Cochstedt,Germany,1,32.172426205903534,32.172426205903534,480,480,3376.666666666666,0,0,-20.92852399999999,-20.92852399999999,1,0,0,0,0,8000,1,1,0,0,Magdeburg Cochstedt (EDBC)
2025,1,JAN,EDBJ,Jena Schongleina,Germany,6,141.652758688396,29.292656587472987,2000,540,20000,4,5,2.86750000000001,8.121699999999999,,,,,,,,,,,Jena Schongleina (EDBJ)
2025,1,JAN,EDBK,Kyritz,Germany,14,148.107324802281,142.79987334003002,4760,4580,3511.8852459016393,2,2,11.796235,11.32216,,,,,,,,,,,Kyritz (EDBK)
2025,1,JAN,EDBM,Magdeburg City,Germany,16,522.418736667404,509.551114123178,13700,13500,3304.098360655737,3,4,13.60077399999999,16.05134999999999,12,7.6133909287257,7.6133909287257,160,160,7000,11,11,-0.11812500000000001,-0.11812500000000001,Magdeburg City (EDBM)
2025,1,JAN,EDBR,Rothenburg Gorlitz,Germany,7,16.313311891929278,4.35349944615569,920,780,24025.641025640998,5,6,75.27580999999998,78.74290999999998,7,63.67363807357,55.91038158306884,1000,880,9475,3,3,55.645804999999996,50.160075,Rothenburg Gorlitz (EDBR)
2025,1,JAN,EDCG,Rugen,Germany,1,0,0,0,0,26000,1,1,0,0,1,0,0,0,0,29000,1,1,0,0,Rugen (EDCG)
2025,1,JAN,EDCM,Kamenz,Germany,1,2.6997840172785996,2.6997840172785996,60,60,6000,0,0,0.1669499999999999,0.1669499999999999,,,,,,,,,,,Kamenz (EDCM)
2025,1,JAN,EDCY,Welzow,Germany,2,10.232624013029769,10.232624013029769,180,180,13175.409836065599,1,1,-12.823908,-12.823908,2,0,0,0,0,24500,2,2,0,0,Welzow (EDCY)
2025,1,JAN,EDDB,Berlin Brandenburg,Germany,6389,56600.550311824205,18910.4236590364,725860,354440,4024.0076518412234,1254,2361,433791.34520119993,265342.17870409996,6367,12769.4330403283,124.641073428489,112900,1940,35000,5117,6312,31140.040127,1304.236556999999,Berlin Brandenburg (EDDB)
2025,1,JAN,EDDC,Dresden,Germany,318,2907.768296708502,1173.4725136326902,47380,25260,4975,78,145,10811.904351,5972.930905,335,513.002843335787,83.72774466956415,5760,1960,28000,302,331,741.237355,-11.64523,Dresden (EDDC)
2025,1,JAN,EDDE,Erfurt,Germany,62,934.42602306096,573.8711921873971,17720,13440,4211.686559418785,14,15,4111.5392275,2450.665546499999,66,479.043245734344,273.60053818645304,9480,7300,19000,47,61,1698.7061580000002,1414.1446,Erfurt (EDDE)
2025,1,JAN,EDDF,Frankfurt,Germany,15322,318674.7582232796,103257.43369301541,4135960,1922820,4372.923356135696,543,2560,3612401.4877918,2175841.7020298,15448,46705.455221369506,845.204624393697,389347,10660,33000,11517,15219,138374.3551104,9767.7283152,Frankfurt (EDDF)
2025,1,JAN,EDDG,Munster Osnabruck,Germany,350,4319.610474021448,2173.7679570826745,74900,50780,3078.7614488617505,57,84,13338.3522916,7210.2309513,394,1727.9080310480472,360.01155415373006,21814,9794,30956.6844919786,299,368,2268.6837291,191.62733500000002,Munster Osnabruck (EDDG)
2025,1,JAN,EDDH,Hamburg,Germany,3976,23035.8493519152,13840.6201947681,368740,267120,3090.593947606142,939,1148,244545.30672319993,188291.6071451999,3978,7048.825876194163,415.241250470612,67472,9772,35000,3390,3929,12197.956793700001,700.4862425,Hamburg (EDDH)
2025,1,JAN,EDDK,Cologne/Bonn,Germany,3754,54579.8556281106,12410.2470106488,662160,238300,4177.519379844961,701,1321,515709.2246698,218670.8881395999,3820,10340.1351996273,342.26699863082507,90940,5060,33000,2968,3748,20838.2794502,3275.6272839999992,Cologne/Bonn (EDDK)
2025,1,JAN,EDDL,Dusseldorf,Germany,4804,56759.7811176347,13490.0204528211,669700,257320,3470,764,1713,382954.55277149996,190657.607951,4801,20926.1138962425,112.731519499884,171260,1780,34024.1071428571,3402,4756,32116.0211362,845.486031,Dusseldorf (EDDL)
